ADM2_NAME,lat,lng,country,admin_name
Casablanca,33.5333,-7.5833,Morocco,Casablanca-Settat
El Kelaa des Srarhna,32.0481,-7.4083,Morocco,Marrakech-Safi
Fès,34.0433,-5.0033,Morocco,Fès-Meknès
Rabat,34.0209,-6.8416,Morocco,Rabat-Salé-Kénitra
Tifariti,26.158,-10.567,Morocco,Laâyoune-Sakia El Hamra
Tangier,35.7767,-5.8039,Morocco,Tanger-Tétouan-Al Hoceïma
Marrakech,31.63,-8.0089,Morocco,Marrakech-Safi
Sale,34.0333,-6.8,Morocco,Rabat-Salé-Kénitra
Mediouna,33.45,-7.51,Morocco,Casablanca-Settat
Meknès,33.895,-5.5547,Morocco,Fès-Meknès
Oujda-Angad,34.6867,-1.9114,Morocco,Oriental
Kenitra,34.25,-6.5833,Morocco,Rabat-Salé-Kénitra
Agadir,30.4333,-9.6,Morocco,Souss-Massa
Tétouan,35.5667,-5.3667,Morocco,Tanger-Tétouan-Al Hoceïma
Taourirt,34.4169,-2.885,Morocco,Oriental
Temara,33.9267,-6.9122,Morocco,Rabat-Salé-Kénitra
Safi,32.2833,-9.2333,Morocco,Marrakech-Safi
Khénifra,32.9394,-5.6675,Morocco,Béni Mellal-Khénifra
Laâyoune,27.1536,-13.2033,Morocco,Laâyoune-Sakia El Hamra
Mohammedia,33.6833,-7.3833,Morocco,Casablanca-Settat
El Jadid,33.2333,-8.5,Morocco,Casablanca-Settat
Kouribga,32.8833,-6.9167,Morocco,Béni Mellal-Khénifra
Béni Mellal,32.3394,-6.3608,Morocco,Béni Mellal-Khénifra
Ait Melloul,30.3342,-9.4972,Morocco,Souss-Massa
Nador,35.1667,-2.9333,Morocco,Oriental
Taza,34.2167,-4.0167,Morocco,Fès-Meknès
Barrechid,33.2667,-7.5833,Morocco,Casablanca-Settat
Settat,33.0,-7.6167,Morocco,Casablanca-Settat
Inezgane,30.3658,-9.5381,Morocco,Souss-Massa
Al Khmissat,33.8167,-6.0667,Morocco,Rabat-Salé-Kénitra
Ksar El Kebir,35.009,-5.9,Morocco,Tanger-Tétouan-Al Hoceïma
Larache,35.1833,-6.15,Morocco,Tanger-Tétouan-Al Hoceïma
Guelmim,28.9833,-10.0667,Morocco,Guelmim-Oued Noun
Berkane,34.9167,-2.3167,Morocco,Oriental
Al Fqih Ben Çalah,32.5,-6.5333,Morocco,Béni Mellal-Khénifra
Khemis Sahel,35.25,-6.0833,Morocco,Tanger-Tétouan-Al Hoceïma
Ad Dakhla,23.7081,-15.9456,Morocco,Dakhla-Oued Ed-Dahab
Bouskoura,33.4489,-7.6486,Morocco,Casablanca-Settat
Oued Zem,32.8667,-6.5667,Morocco,Béni Mellal-Khénifra
Sidi Slimane,34.26,-5.92,Morocco,Rabat-Salé-Kénitra
Guercif,34.2333,-3.3667,Morocco,Oriental
Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet
Ben Guerir,32.23,-7.95,Morocco,Marrakech-Safi
Oulad Teïma,30.4,-9.2167,Morocco,Souss-Massa
Fnidq,35.85,-5.35,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Qacem,34.2167,-5.7,Morocco,Rabat-Salé-Kénitra
Moulay Abdallah,33.1978,-8.5883,Morocco,Casablanca-Settat
Youssoufia,32.25,-8.5333,Morocco,Marrakech-Safi
Aïn Harrouda,33.6372,-7.4483,Morocco,Casablanca-Settat
Martil,35.6167,-5.2667,Morocco,Tanger-Tétouan-Al Hoceïma
Ouezzane,34.8,-5.5833,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Bennour,32.65,-8.4333,Morocco,Casablanca-Settat
Sidi Yahya Zaer,33.7105,-6.8831,Morocco,Rabat-Salé-Kénitra
Midalt,32.68,-4.73,Morocco,Drâa-Tafilalet
Azrou,33.4417,-5.2247,Morocco,Fès-Meknès
Al Hoceïma,35.2472,-3.9322,Morocco,Tanger-Tétouan-Al Hoceïma
My Drarga,30.38,-9.48,Morocco,Souss-Massa
Boujad,32.7667,-6.4,Morocco,Béni Mellal-Khénifra
Ain El Aouda,33.8111,-6.7922,Morocco,Rabat-Salé-Kénitra
Qasbat Tadla,32.6,-6.2667,Morocco,Béni Mellal-Khénifra
Beni Yakhlef,33.6555,-7.3221,Morocco,Casablanca-Settat
Azemmour,33.2878,-8.3422,Morocco,Casablanca-Settat
Mrirt,33.1667,-5.5667,Morocco,Béni Mellal-Khénifra
Jerada,34.3117,-2.1636,Morocco,Oriental
El Aïoun,34.5852,-2.5056,Morocco,Oriental
Temsia,30.36,-9.414,Morocco,Souss-Massa
Aziylal,31.9669,-6.5694,Morocco,Béni Mellal-Khénifra
Ait Ourir,31.5644,-7.6628,Morocco,Marrakech-Safi
Zagora,30.3306,-5.8381,Morocco,Drâa-Tafilalet
Biougra,30.2144,-9.3708,Morocco,Souss-Massa
Sidi Yahia El Gharb,34.3058,-6.3058,Morocco,Rabat-Salé-Kénitra
El Hajeb,33.6928,-5.3711,Morocco,Fès-Meknès
Zaïo,34.9333,-2.7333,Morocco,Oriental
Zeghanghane,35.15,-3.0,Morocco,Oriental
Tit Mellil,33.5533,-7.4822,Morocco,Casablanca-Settat
Mechraa Bel Ksiri,34.56,-5.95,Morocco,Rabat-Salé-Kénitra
Sidi Smai’il,32.8167,-8.5,Morocco,Casablanca-Settat
Arfoud,31.4361,-4.2328,Morocco,Drâa-Tafilalet
Demnat,31.7311,-7.0361,Morocco,Béni Mellal-Khénifra
Bou Arfa,32.5309,-1.965,Morocco,Oriental
Mehdya,34.2597,-6.65,Morocco,Rabat-Salé-Kénitra
Bir Jdid,33.3737,-8.0002,Morocco,Casablanca-Settat
Aïn Taoujdat,33.9333,-5.2167,Morocco,Fès-Meknès
Tahla,34.05,-4.42,Morocco,Fès-Meknès
Iheddadene,35.15,-2.9667,Morocco,Oriental
Missour,33.05,-3.9833,Morocco,Fès-Meknès
Zawyat ech Cheïkh,32.6414,-5.9206,Morocco,Béni Mellal-Khénifra
Oulad Tayeb,33.9598,-4.9954,Morocco,Fès-Meknès
Sidi Lmokhtar,31.57,-9.01,Morocco,Marrakech-Safi
Tabount,30.88,-6.91,Morocco,Drâa-Tafilalet
Douar Toulal,33.8951,-5.6021,Morocco,Fès-Meknès
Oulad Fraj,32.9667,-8.2333,Morocco,Casablanca-Settat
Ahfir,34.9514,-2.1025,Morocco,Oriental
Bou Djeniba,32.9,-6.7833,Morocco,Béni Mellal-Khénifra
Goulmima,31.6944,-4.9592,Morocco,Drâa-Tafilalet
Sidi Zouine,31.6706,-8.3508,Morocco,Marrakech-Safi
Ait Yaazem,33.7333,-5.5833,Morocco,Fès-Meknès
Oulad Hamdane,32.3333,-6.3667,Morocco,Béni Mellal-Khénifra
Targuist,34.95,-4.3,Morocco,Tanger-Tétouan-Al Hoceïma
Bou Fekrane,33.7667,-5.4833,Morocco,Fès-Meknès
El Menzel,33.8389,-4.5458,Morocco,Fès-Meknès
Boumia,32.7228,-5.1053,Morocco,Drâa-Tafilalet
Oulad Ayyad,32.3333,-6.3833,Morocco,Béni Mellal-Khénifra
Ar Rommani,33.5333,-6.6167,Morocco,Rabat-Salé-Kénitra
Boudenib,31.9497,-3.6078,Morocco,Drâa-Tafilalet
Wislane,30.2167,-8.3833,Morocco,Souss-Massa
Tiflet,33.8931,-6.3069,Morocco,Rabat-Salé-Kénitra
Lqoliaa,30.2908,-9.4661,Morocco,Souss-Massa
Sefrou,33.83,-4.83,Morocco,Fès-Meknès
Taroudannt,30.471,-8.8806,Morocco,Souss-Massa
Essaouira,31.5131,-9.7697,Morocco,Marrakech-Safi
Ait Ali,30.1765,-9.4886,Morocco,Souss-Massa
Tiznit,29.7167,-9.7167,Morocco,Souss-Massa
Tan-Tan,28.4333,-11.1,Morocco,Guelmim-Oued Noun
Warzat,30.9167,-6.9167,Morocco,Drâa-Tafilalet
Sa’ada,31.6258,-8.1028,Morocco,Marrakech-Safi
Skhirate,33.85,-7.03,Morocco,Rabat-Salé-Kénitra
Benslimane,33.6167,-7.1167,Morocco,Casablanca-Settat
Beni Enzar,35.2667,-2.9333,Morocco,Oriental
M’diq,35.6858,-5.3253,Morocco,Tanger-Tétouan-Al Hoceïma
Semara,26.7394,-11.6703,Morocco,Laâyoune-Sakia El Hamra
Ad Darwa,33.4167,-7.5333,Morocco,Casablanca-Settat
Al Aaroui,35.0029,-3.0311,Morocco,Oriental
Tinajdad,31.5,-5.0167,Morocco,Drâa-Tafilalet
Chefchaouene,35.1714,-5.2697,Morocco,Tanger-Tétouan-Al Hoceïma
Douar Bni Malek,34.78,-5.6425,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Mohamed Lahmar,34.7167,-6.2667,Morocco,Rabat-Salé-Kénitra
Cabo Bojador,26.1333,-14.5,Morocco,Laâyoune-Sakia El Hamra
Tineghir,31.5147,-5.5328,Morocco,Drâa-Tafilalet
Zoumi,34.8,-5.35,Morocco,Tanger-Tétouan-Al Hoceïma
Douar Laouamra,31.8,-8.7167,Morocco,Marrakech-Safi
Sidi Bibi,30.2333,-9.5333,Morocco,Souss-Massa
Taounate,34.5358,-4.64,Morocco,Fès-Meknès
Bouznika,33.7897,-7.1575,Morocco,Casablanca-Settat
Aguelmous,33.15,-5.8333,Morocco,Béni Mellal-Khénifra
Aourir,30.4833,-9.6333,Morocco,Souss-Massa
Imzouren,35.15,-3.85,Morocco,Tanger-Tétouan-Al Hoceïma
Dabouziya,33.3064,-8.3548,Morocco,Casablanca-Settat
Mnasra,34.7667,-5.5167,Morocco,Tanger-Tétouan-Al Hoceïma
Oulad Zemam,32.35,-6.6333,Morocco,Béni Mellal-Khénifra
Ben Ahmed,33.0655,-7.2464,Morocco,Casablanca-Settat
Arbaoua,34.9,-5.9167,Morocco,Rabat-Salé-Kénitra
Douar Oulad Hssine,33.068,-8.5107,Morocco,Casablanca-Settat
Dar Ould Zidouh,32.3167,-6.9,Morocco,Béni Mellal-Khénifra
Bahharet Oulad Ayyad,34.7702,-6.3047,Morocco,Rabat-Salé-Kénitra
Asilah,35.4667,-6.0333,Morocco,Tanger-Tétouan-Al Hoceïma
Al ’Attawia,31.8347,-7.3125,Morocco,Marrakech-Safi
Mograne,34.4167,-6.4333,Morocco,Rabat-Salé-Kénitra
Lalla Mimouna,34.85,-6.0669,Morocco,Rabat-Salé-Kénitra
Souk et Tnine Jorf el Mellah,34.4833,-5.5169,Morocco,Rabat-Salé-Kénitra
Tameslouht,31.5,-8.1,Morocco,Marrakech-Safi
Chichaoua,31.5333,-8.7667,Morocco,Marrakech-Safi
Fritissa,33.6167,-3.55,Morocco,Fès-Meknès
Oulad Yaïch,32.4167,-6.3333,Morocco,Béni Mellal-Khénifra
Taza,35.0639,-5.2025,Morocco,Tanger-Tétouan-Al Hoceïma
Douar Oulad Aj-jabri,32.2567,-6.7839,Morocco,Béni Mellal-Khénifra
Oulad Hammou,33.2499,-8.3346,Morocco,Casablanca-Settat
Bellaa,30.0314,-9.5542,Morocco,Souss-Massa
Dar Bel Hamri,34.1889,-5.9697,Morocco,Rabat-Salé-Kénitra
Moulay Bousselham,34.8786,-6.2933,Morocco,Rabat-Salé-Kénitra
Ksebia,34.2933,-6.1594,Morocco,Rabat-Salé-Kénitra
Ourika Wawrmas,30.7167,-6.5333,Morocco,Drâa-Tafilalet
Sabaa Aiyoun,33.9,-5.3667,Morocco,Fès-Meknès
Tamorot,34.9333,-4.7833,Morocco,Tanger-Tétouan-Al Hoceïma
Rich,32.2583,-4.5056,Morocco,Drâa-Tafilalet
Bouknadel,34.1333,-6.7333,Morocco,Rabat-Salé-Kénitra
Aït Faska,31.5058,-7.7161,Morocco,Marrakech-Safi
Bourdoud,34.5922,-4.5492,Morocco,Fès-Meknès
Boureït,34.9833,-4.9167,Morocco,Tanger-Tétouan-Al Hoceïma
Oulad Barhil,30.6408,-8.475,Morocco,Souss-Massa
Oulad Said,32.632,-8.8456,Morocco,Casablanca-Settat
Lamzoudia,31.5833,-8.4833,Morocco,Marrakech-Safi
Ain Aicha,34.4833,-4.7,Morocco,Fès-Meknès
El Ghiate,32.0331,-9.1625,Morocco,Marrakech-Safi
Safsaf,34.5581,-6.0078,Morocco,Rabat-Salé-Kénitra
Echemmaia Est,32.0786,-8.6325,Morocco,Marrakech-Safi
Ouaoula,31.8667,-6.75,Morocco,Béni Mellal-Khénifra
Douar Olad. Salem,32.8739,-8.8588,Morocco,Casablanca-Settat
Ain Dfali,34.599,-5.5488,Morocco,Rabat-Salé-Kénitra
Douar ’Ayn Dfali,33.95,-4.45,Morocco,Fès-Meknès
Skoura,31.0606,-6.5556,Morocco,Drâa-Tafilalet
Setti Fatma,31.2256,-7.6758,Morocco,Marrakech-Safi
Gueznaia,35.72,-5.894,Morocco,Tanger-Tétouan-Al Hoceïma
Zawyat an Nwaçer,33.3611,-7.6114,Morocco,Casablanca-Settat
Khenichet-sur Ouerrha,34.4333,-5.6667,Morocco,Rabat-Salé-Kénitra
Douar Ouled Ayad,32.4167,-7.1,Morocco,Casablanca-Settat
Oulad Hassoune,31.6503,-7.8361,Morocco,Marrakech-Safi
Ayt Mohamed,32.5667,-6.9833,Morocco,Béni Mellal-Khénifra
Bni Frassen,34.3833,-4.3833,Morocco,Fès-Meknès
Douar Imoukkane,35.0298,-4.8125,Morocco,Tanger-Tétouan-Al Hoceïma
Tighedouine,31.4236,-7.5208,Morocco,Marrakech-Safi
Tnine Lgharbia,32.5719,-8.8568,Morocco,Casablanca-Settat
Sidi Ifni,29.3833,-10.1667,Morocco,Guelmim-Oued Noun
Alnif,31.1167,-5.1667,Morocco,Drâa-Tafilalet
Souk Tlet El Gharb,34.6211,-6.1336,Morocco,Rabat-Salé-Kénitra
Arbi’a Tighadwiyn,31.4236,-7.5208,Morocco,Marrakech-Safi
Afourar,32.2167,-6.5,Morocco,Béni Mellal-Khénifra
Selouane,35.0667,-2.9333,Morocco,Oriental
Imi-n-Tanout,31.16,-8.85,Morocco,Marrakech-Safi
El Ksiba,32.5681,-6.0308,Morocco,Béni Mellal-Khénifra
Had Oulad Issa,32.9519,-8.6982,Morocco,Casablanca-Settat
Tidili Masfiywat,31.4667,-7.6167,Morocco,Marrakech-Safi
Amizmiz,31.2167,-8.25,Morocco,Marrakech-Safi
Tamgrout,30.2667,-5.6667,Morocco,Drâa-Tafilalet
Sidi Rahal,33.472,-7.957,Morocco,Casablanca-Settat
Asni,31.25,-7.9833,Morocco,Marrakech-Safi
Oulad Embarek,32.2833,-6.4667,Morocco,Béni Mellal-Khénifra
Al Brouj,32.505,-7.1927,Morocco,Casablanca-Settat
Imi n’Oulaoun,31.3094,-6.4992,Morocco,Drâa-Tafilalet
Sidi Taibi,34.1917,-6.6845,Morocco,Rabat-Salé-Kénitra
Saka,34.6167,-3.4167,Morocco,Oriental
Sidi Abdelkader,33.0494,-8.6886,Morocco,Casablanca-Settat
Bni Rzine,35.0108,-4.7262,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Chiker,31.7453,-8.7069,Morocco,Marrakech-Safi
Douar Lamrabih,34.8167,-5.8167,Morocco,Rabat-Salé-Kénitra
Sidi Jaber,32.3833,-6.4167,Morocco,Béni Mellal-Khénifra
Station des Essais M.V.A.,34.9352,-2.4306,Morocco,Oriental
Aïn Cheggag,33.8833,-5.0333,Morocco,Fès-Meknès
Jdour,32.1269,-8.7633,Morocco,Marrakech-Safi
Imouzzer Kandar,33.73,-5.01,Morocco,Fès-Meknès
’Ali Ben Sliman,31.91,-7.21,Morocco,Marrakech-Safi
El Mansouria,33.75,-7.3,Morocco,Casablanca-Settat
Tarhzirt,32.4333,-6.1833,Morocco,Béni Mellal-Khénifra
Had Zraqtane,31.45,-7.4,Morocco,Marrakech-Safi
Aït Tamlil,31.48,-6.94,Morocco,Béni Mellal-Khénifra
Zaouïa Aït Ishak,32.76,-5.7233,Morocco,Béni Mellal-Khénifra
Jnane Bouih,32.0308,-8.7894,Morocco,Marrakech-Safi
Oulad Salmane,34.3356,-6.4604,Morocco,Rabat-Salé-Kénitra
Ait Bousarane,31.7917,-7.0926,Morocco,Béni Mellal-Khénifra
Douar Ait Sidi Daoud,31.6345,-7.644,Morocco,Marrakech-Safi
Sebt Gzoula,32.1167,-9.0833,Morocco,Marrakech-Safi
Sidi Redouane,34.6833,-5.45,Morocco,Tanger-Tétouan-Al Hoceïma
Karia Ba Mohamed,34.3667,-5.2,Morocco,Fès-Meknès
Ait Ben Daoudi,31.6345,-7.644,Morocco,Marrakech-Safi
Beni Zouli,30.4839,-5.8619,Morocco,Drâa-Tafilalet
Oulmes,33.445,-6.0011,Morocco,Rabat-Salé-Kénitra
Bni Bouayach,35.0986,-3.8397,Morocco,Tanger-Tétouan-Al Hoceïma
Jbabra,34.4314,-4.9642,Morocco,Fès-Meknès
Sidi Allal Tazi,34.5197,-6.3236,Morocco,Rabat-Salé-Kénitra
Tamri,30.695,-9.825,Morocco,Souss-Massa
Tata,29.7428,-7.9725,Morocco,Souss-Massa
Chouafaa,34.7667,-6.05,Morocco,Rabat-Salé-Kénitra
Foum el Anser,32.3718,-6.2613,Morocco,Béni Mellal-Khénifra
Lamrasla,32.0247,-8.9153,Morocco,Marrakech-Safi
Aït Bouchta,35.1056,-3.8503,Morocco,Tanger-Tétouan-Al Hoceïma
Assa,28.6086,-9.4269,Morocco,Guelmim-Oued Noun
Ribat Al Khayr,33.82,-4.41,Morocco,Fès-Meknès
Bouarouss,34.3667,-4.8167,Morocco,Fès-Meknès
Ikniwn,31.1736,-5.6733,Morocco,Drâa-Tafilalet
Ghouazi,34.4667,-5.3,Morocco,Fès-Meknès
Outat Oulad Al Haj,33.3333,-3.6833,Morocco,Fès-Meknès
Al Qbab,32.7333,-5.5167,Morocco,Béni Mellal-Khénifra
Douar Oulad Mbarek,34.2833,-4.3167,Morocco,Fès-Meknès
Qal’at Mgouna,31.2414,-6.1283,Morocco,Drâa-Tafilalet
Laatatra,32.6315,-8.4148,Morocco,Casablanca-Settat
Aït Majdane,31.8514,-6.9658,Morocco,Béni Mellal-Khénifra
Agourai,33.6333,-5.5833,Morocco,Fès-Meknès
Awlouz,30.7,-8.15,Morocco,Souss-Massa
Sahel,34.9667,-4.55,Morocco,Tanger-Tétouan-Al Hoceïma
Ketama,34.9158,-4.5686,Morocco,Tanger-Tétouan-Al Hoceïma
Dar Chaifat,32.55,-7.5,Morocco,Casablanca-Settat
Galaz,34.55,-4.8,Morocco,Fès-Meknès
Milla’ab,31.4737,-4.7424,Morocco,Drâa-Tafilalet
Talsint,32.5398,-3.4408,Morocco,Oriental
Tamallalt,31.8289,-7.5261,Morocco,Marrakech-Safi
Douar Lamjaara,34.6147,-5.2887,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Yakoub,31.6667,-7.0667,Morocco,Béni Mellal-Khénifra
Tagounite,29.9833,-5.5667,Morocco,Drâa-Tafilalet
Knemis Dades,31.309,-6.028,Morocco,Drâa-Tafilalet
Oulad Amrane,32.2833,-9.2333,Morocco,Marrakech-Safi
Ratba,34.7833,-4.9333,Morocco,Fès-Meknès
Ouaouzgane,35.0167,-4.5167,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Lamine,32.9,-6.05,Morocco,Béni Mellal-Khénifra
Douar Tabouda,34.7167,-5.1333,Morocco,Fès-Meknès
Sidi Ettiji,32.1717,-8.8686,Morocco,Marrakech-Safi
Zirara,32.35,-8.5333,Morocco,Casablanca-Settat
Mensora,34.8356,-4.9655,Morocco,Tanger-Tétouan-Al Hoceïma
Tirhassaline,32.7833,-5.65,Morocco,Béni Mellal-Khénifra
Sebt Aït Saghiouchen,34.0122,-4.5536,Morocco,Fès-Meknès
Douar Azla,35.5564,-5.2453,Morocco,Tanger-Tétouan-Al Hoceïma
Timezgana,34.5833,-4.7333,Morocco,Fès-Meknès
’Ayn Bni Mathar,34.0889,-2.0247,Morocco,Oriental
Zegzel,34.8407,-2.3543,Morocco,Oriental
Bouchabel,34.3833,-5.0167,Morocco,Fès-Meknès
Caidat Sidi Boubker El Haj,34.9148,-6.0735,Morocco,Rabat-Salé-Kénitra
Masmouda,34.7862,-5.7078,Morocco,Tanger-Tétouan-Al Hoceïma
Skhour Rehamna,32.4833,-7.9167,Morocco,Marrakech-Safi
Bni Tajjit,32.2833,-3.4833,Morocco,Oriental
